frame,player,team,dx,dy,x,y
0,0,,0.11778928698996793,-0.043725632333845965,57.13159689197217,97.69008895655772
0,14238,defense,3.472250514846564e-05,0.00016595172861144647,98.5235555616596,53.0483386593649
0,9949,defense,0.038489574745760535,0.10788973667176549,59.74631247238248,85.67779319619413
0,24938,attack,-0.026962029223000172,-0.08458487855288155,59.7944348065971,42.62840525013385
0,3343,defense,-0.10789936425000235,0.10075778525549595,76.06953733526609,82.60102521596745
0,22374,attack,0.008546908083019389,-0.03005310873059841,60.89193530684189,99.11994960465104
0,3347,defense,0.06672069711076745,0.15399317447809047,67.32295652477517,15.28004359464616
0,22034,attack,0.023286505058358387,0.08498232779088255,56.34981711730326,83.90851173955559
0,24075,defense,0.016393380350571363,-0.02531330789422981,53.48578113545261,32.537711902189805
0,1622,attack,0.0545589369148729,0.03629186905200754,69.30625961718698,40.58251035644697
0,12,attack,-0.04678043974722357,0.16395277442401834,63.2557476328896,88.97350811891205
0,3346,defense,-0.015450524439387436,0.002893923199685844,69.3625771570081,51.14164992311176
0,22035,attack,0.0,0.0,45.170068027210895,73.10924369747899
0,11069,defense,0.03159996564421874,0.05084738296201863,60.35879334649992,44.907929257541646
0,1214,attack,0.04022355099249353,0.14695813383198697,70.15155459995088,72.05364520957956
0,22036,attack,0.0,0.0,47.48299319727891,57.77310924369748
0,24076,defense,0.0,7.105427357601002e-15,50.61224489795919,62.815126050420176
0,3342,defense,0.11778928698996793,-0.043725632333845965,57.13159689197217,97.69008895655772
0,24074,attack,0.0,2.842170943040401e-14,48.57142857142858,39.91596638655464
0,3344,defense,0.08365809358919307,-0.024995832573267762,68.86909155627798,69.1484345846911
0,11698,attack,0.1981761217099134,0.0079361883324367,55.274263462610776,96.55566519977292
1,24076,defense,0.0,0.0,50.61224489795919,62.815126050420176
1,24938,attack,-0.02216177253986018,-0.07017643386905803,59.77227303405724,42.558228816264794
1,3343,defense,-0.11687824115988121,0.09976089620415962,75.95265909410621,82.70078611217161
1,11698,attack,0.18574791544436664,0.001594981631640735,55.46001137805514,96.55726018140456
1,3344,defense,0.06566644897912965,-0.016578216208372965,68.93475800525711,69.13185636848273
1,11069,defense,0.02557731892471793,0.04939961664988601,60.38437066542464,44.95732887419153
1,22035,attack,7.105427357601002e-15,0.0,45.1700680272109,73.10924369747899
1,24075,defense,0.015110843914101224,-0.02333292074971638,53.50089197936671,32.51437898144009
1,1622,attack,0.05122085530430809,0.03440301856786476,69.35748047249129,40.61691337501483
1,22036,attack,0.0,0.0,47.48299319727891,57.77310924369748
1,3346,defense,-0.013359161257213259,0.002281905609926582,69.34921799575089,51.14393182872168
1,22374,attack,0.004682552442211829,-0.026457738861182634,60.8966178592841,99.09349186578986
1,12,attack,-0.05054809747635858,0.16406749245717833,63.20519953541324,89.13757561136923
1,1214,attack,0.029437430305819134,0.1361121039846438,70.1809920302567,72.1897573135642
1,0,,0.10274206353663828,-0.05536815388843763,57.23433895550881,97.63472080266928
1,3342,defense,0.10274206353663828,-0.05536815388843763,57.23433895550881,97.63472080266928
1,22034,attack,0.020433517201851714,0.0914187036188423,56.37025063450511,83.99993044317443
1,14238,defense,2.7692269554790983e-05,0.0001323516255524737,98.52358325392916,53.048471010990454
1,9949,defense,0.025469125294783623,0.09626375866731962,59.77178159767726,85.77405695486145
1,24074,attack,0.0,0.0,48.57142857142858,39.91596638655464
1,3347,defense,0.0629679810674304,0.14674054668357073,67.3859245058426,15.426784141329732
2,22035,attack,-7.105427357601002e-15,0.0,45.170068027210895,73.10924369747899
