frame,player,team,dx,dy,x,y
0,0,,0.0,0.0,80.25523571558908,39.0475282064349
0,379,defense,0.0,0.0,83.65473374829838,56.63435872844995
0,380,defense,0.0,0.0,86.01059440102215,49.620907431344186
0,10267,defense,0.0,0.0,97.61169709613512,48.676170283404815
0,381,defense,0.0,0.0,84.41151122334081,41.1635167961684
0,382,defense,0.0,0.0,84.08329465491175,28.38938258149345
0,1330,defense,0.0,0.0,76.78847915806534,28.76604085733128
0,1848,attack,0.0,0.0,77.41852874337604,52.430300096487294
0,9627,attack,0.0,0.0,64.48979591836735,82.98319327731093
0,65,attack,0.0,0.0,77.77434973562666,8.86703436399597
0,2067,attack,0.0,0.0,81.68124384945195,75.09404003883037
0,5326,attack,0.0,0.0,82.99472951258471,43.124609698803184
0,7027,defense,0.0,0.0,76.94996997779639,37.79535728146589
0,8101,attack,0.0,0.0,55.78231292517006,36.97478991596639
0,9626,attack,0.0,0.0,53.74149659863946,53.361344537815135
0,8231,defense,0.0,0.0,74.8360529569275,42.84346054066997
0,9233,defense,0.0,0.0,71.12131744616204,77.51199449158361
0,9623,attack,0.0,0.0,61.36054421768707,68.69747899159664
0,9624,defense,0.0,0.0,64.89795918367346,68.69747899159664
0,2937,attack,0.0,0.0,80.25523571558908,39.0475282064349
0,13,attack,0.0,0.0,74.86377438889724,38.67184929661096
0,9625,defense,0.0,0.0,59.04761904761904,47.89915966386554
1,382,defense,0.0,0.0,84.08329465491175,28.38938258149345
1,8101,attack,0.0,0.0,55.78231292517006,36.97478991596639
1,13,attack,0.0,0.0,74.86377438889724,38.67184929661096
1,2937,attack,0.0,0.0,80.25523571558908,39.0475282064349
1,5326,attack,0.0,0.0,82.99472951258471,43.124609698803184
1,7027,defense,0.0,0.0,76.94996997779639,37.79535728146589
1,1330,defense,0.0,0.0,76.78847915806534,28.76604085733128
1,381,defense,0.0,0.0,84.41151122334081,41.1635167961684
1,10267,defense,0.0,0.0,97.61169709613512,48.676170283404815
1,2067,attack,0.0,0.0,81.68124384945195,75.09404003883037
1,0,,0.0,0.0,80.25523571558908,39.0475282064349
1,65,attack,0.0,0.0,77.77434973562666,8.86703436399597
1,9627,attack,0.0,0.0,64.48979591836735,82.98319327731093
1,9625,defense,0.0,0.0,59.04761904761904,47.89915966386554
1,380,defense,0.0,0.0,86.01059440102215,49.620907431344186
1,1848,attack,0.0,0.0,77.41852874337604,52.430300096487294
1,379,defense,0.0,0.0,83.65473374829838,56.63435872844995
1,9623,attack,0.0,0.0,61.36054421768707,68.69747899159664
1,8231,defense,0.0,0.0,74.8360529569275,42.84346054066997
1,9626,attack,0.0,0.0,53.74149659863946,53.361344537815135
1,9233,defense,0.0,0.0,71.12131744616204,77.51199449158361
1,9624,defense,0.0,0.0,64.89795918367346,68.69747899159664
2,1330,defense,0.0,0.0,76.78847915806534,28.76604085733128
2,379,defense,0.0,0.0,83.65473374829838,56.63435872844995
2,9623,attack,0.0,0.0,61.36054421768707,68.69747899159664
2,9627,attack,0.0,0.0,64.48979591836735,82.98319327731093
2,9233,defense,0.0,0.0,71.12131744616204,77.51199449158361
2,1848,attack,0.0,0.0,77.41852874337604,52.430300096487294
2,13,attack,0.0,0.0,74.86377438889724,38.67184929661096
2,382,defense,0.0,0.0,84.08329465491175,28.38938258149345
2,8101,attack,0.0,0.0,55.78231292517006,36.97478991596639
2,7027,defense,0.0,0.0,76.94996997779639,37.79535728146589
2,2067,attack,0.0,0.0,81.68124384945195,75.09404003883037
2,0,,0.0,0.0,80.25523571558908,39.0475282064349
